,pubChemID,common_name,functional_group
3559,5283335,Trans-2-Nonenal,"Carbonyl compound, Aldehyde, Alkene"
3560,5283339,"2,4-Nonadienal","Carbonyl compound, Aldehyde, Alkene"
3561,5283344,4-Hydroxynonenal,"Carbonyl compound, Aldehyde, Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
3562,5283345,Trans-2-Decenal,"Carbonyl compound, Aldehyde, Alkene"
3563,5283347,5-Decenal,"Carbonyl compound, Aldehyde, Alkene"
3564,5283349,"2,4-Decadienal","Carbonyl compound, Aldehyde, Alkene"
3565,5283361,Trans-2-Dodecenal,"Carbonyl compound, Aldehyde, Alkene"
3566,5283562,Laurylsphingosine,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid sec. amide, Alkene"
3567,5283630,Coprostane,
3568,5283637,"22,23-Dihydrobrassicasterol","Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
3569,5283640,24-Methylenelophenol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
3570,5283653,Epicodisterol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
3571,5283660,Crinosterol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
3572,5283731,Calcifediol,"Hydroxy compound, Alcohol, Sec. alcohol, Tert. alcohol, Alkene"
3573,5284421,Methyl Linoleate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene"
3574,5284503,Trans-3-Hexen-1-Ol,"Hydroxy compound, Alcohol, Prim. alcohol, Alkene"
3575,5284507,Nerolidol,"Hydroxy compound, Alcohol, Tert. alcohol, Alkene"
3576,5284639,Genistoside,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
3577,5284648,"3',4',7-Trihydroxyisoflavone","Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
3578,5284649,17817-31-1,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
3579,5284656,(Z)-Ethyl Cinnamate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
3580,5287609,Polypectate,"Hemiacetal, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Carboxylic acid deriv., Carboxylic acid, Heterocyclic compound"
3581,5288519,,"Anion, Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid salt, Alkene, Aromatic compound"
3582,5302365,"1,3,5-Trichloro-2-(Methylsulfonyl)Benzene","Halogen deriv., Aryl chloride, Sulfone, Aromatic compound"
3583,5311110,50-69-1,"Carbonyl compound, Aldehyde, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol"
3584,5312402,Myristelaidic Acid,"Carboxylic acid deriv., Carboxylic acid, Alkene"
3585,5312508,Stearidonic Acid,"Carboxylic acid deriv., Carboxylic acid, Alkene"
3586,5312518,Cis-13-Eicosenoic Acid,"Carboxylic acid deriv., Carboxylic acid, Alkene"
3587,5312529,Eicosatrienoic Acid,"Carboxylic acid deriv., Carboxylic acid, Alkene"
3588,5312549,11-Docosenoic Acid,"Carboxylic acid deriv., Carboxylic acid, Alkene"
3589,5312583,Nerolic Acid,"Carboxylic acid deriv., Carboxylic acid, Alkene"
3590,5312780,24-Hydroxytetracosanoic Acid,"Hydroxy compound, Alcohol, Prim. alcohol, Carboxylic acid deriv., Carboxylic acid"
3591,5312785,26-Hydroxyhexacosanoic Acid,"Hydroxy compound, Alcohol, Prim. alcohol, Carboxylic acid deriv., Carboxylic acid"
3592,5312786,28-Hydroxyoctacosanoic Acid,"Hydroxy compound, Alcohol, Prim. alcohol, Carboxylic acid deriv., Carboxylic acid"
3593,5312983,12-Hete,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alkene"
3594,5315126,Uralenol,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3595,5315127,Uralenol-3-Methylether,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3596,5315190,Alpha-Spinasterol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
3597,5315202,Thevetiaflavone,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3598,5315206,Ac1Nssta,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
3599,5315263,Casticin,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3600,5315299,Beta-Betulenol,"Hydroxy compound, Alcohol, Prim. alcohol, Alkene"
3601,5315395,Yinyanghuo C,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3602,5315396,Yinyanghuo D,"Carbonyl compound, Hydroxy compound, Phenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3603,5315397,Yinyanghuo E,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3604,5315422,Zanthobungeanine,"Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3605,5315433,Curzerenone,"Carbonyl compound, Ketone, Alkene, Aromatic compound, Heterocyclic compound"
3606,5315459,Bilobetin,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3607,5315469,Bisacumol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene, Aromatic compound"
3608,5315472,Bisdemethoxycurcumin,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Alkene, Aromatic compound"
3609,5315477,Bis-(4-Hydroxybenzyl)Ether,"Hydroxy compound, Phenol, Ether, Dialkylether, Aromatic compound"
3610,5315502,Broussonin A,"Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
3611,5315503,Broussonin B,"Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
3612,5315513,Pyroside,"Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound, Heterocyclic compound"
3613,5315594,Ac1Nst8Q,"Hydroxy compound, Alcohol, Tert. alcohol, Alkene"
3614,5315600,Ac1Nst92,"Hydroxy compound, Alcohol, Sec. alcohol, Tert. alcohol, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Alkene, Aromatic compound, Alpha-hydroxyacid"
3615,5315603,Ac1Nst9B,"Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Alkene, Aromatic compound"
3616,5315615,Rosmarinic Acid (Racemate),"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Alkene, Aromatic compound"
3617,5315696,Cardanolmonoene,"Hydroxy compound, Phenol, Alkene, Aromatic compound"
3618,5315718,Cichoralexin,"Carbonyl compound, Ketone, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Alkene, Heterocyclic compound"
3619,5315768,Celereoin,"Hydroxy compound, Alcohol, Tert. alcohol, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3620,5315773,Centaureidin,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3621,5315819,Cherianoine,"Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3622,5315832,Isochlorogenic Acid,"Hydroxy compound, Alcohol, Sec. alcohol, Tert. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Alkene, Aromatic compound, Alpha-hydroxyacid"
3623,5315892,Cinnamyl Alcohol,"Hydroxy compound, Alcohol, Prim. alcohol, Alkene, Aromatic compound"
3624,5315912,(Z)-Cinnamyl Acetate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
3625,5316074,Alpha-Corocalene,"Alkene, Aromatic compound"
3626,5316094,Corydamine,"Acetal, Amine, Sec. amine, Sec. aliphat. amine, Aromatic compound, Heterocyclic compound"
3627,5316144,Cryptomerin A,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Diarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3628,5316213,"(R)-2,5,11-Bisabolatriene",Alkene
3629,5316250,Cycloheterophyllin,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3630,5316316,Daucic Acid,"Enolether, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Carboxylic acid deriv., Carboxylic acid, Heterocyclic compound"
3631,5316449,Ac1Nsuas,"Carbonyl compound, Ketone, Enol, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
3632,5316450,Ac1Nsuav,"Carbonyl compound, Ketone, Enol, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
3633,5316463,Dehydropodophyllotoxin,"Acetal, Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
3634,5316496,Delphinidin 3-Glucosylglucoside,"Cation, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
3635,5316511,Demethoxycapillarisin,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Diarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3636,5316534,Dendrolasin,"Alkene, Aromatic compound, Heterocyclic compound"
3637,5316606,Desoxyrhaponticin,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
3638,5316653,Dichotomitin,"Carbonyl compound, Acetal, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3639,5316673,Afzelin,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
3640,5316702,(+)-Mokkolactone,"Carboxylic acid deriv., Carboxylic acid ester, Lactone, Alkene, Heterocyclic compound"
3641,5316717,Ac1Nsuk8,"Carboxylic acid deriv., Carboxylic acid ester, Lactone, Alkene, Heterocyclic compound"
3642,5316765,"1,3-Dihydroxy-4,5-Dimethoxyxanthone","Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3643,5316766,"1,6-Dihydroxy-3,7-Dimethoxyxanthone","Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3644,5316773,Dehydrojuncusol,"Hydroxy compound, Phenol, Alkene, Aromatic compound"
3645,5316793,Pinostrobin Chalcone,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
3646,5316794,Ac1Nsuog,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3647,5316801,Dmdbp,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
3648,5316810,Dehydroeffusol,"Hydroxy compound, Phenol, Alkene, Aromatic compound"
3649,5316819,Nepetoidin B,"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
3650,5316820,Nepetoidin A,"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
3651,5316832,"Quercetagetin-6,7-3',4'-Tetramethyl Ether","Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3652,5316843,8-Methoxyluteolin,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3653,5316860,Syringin,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
3654,5316884,"8,8''-Bisgenkwanin","Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3655,5316900,"Quercetin 3,3'-Dimethyl Ether","Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3656,5316932,"1,7-Diphenyl-4-Hepten-3-One","Carbonyl compound, Ketone, Alkene, Aromatic compound"
3657,5316952,Docosyl Caffeate,"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
3658,5316959,Dolineone,"Carbonyl compound, Ketone, Acetal, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
3659,5317019,Ac1Nsv1H,"Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
3660,5317025,Linarin,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3661,5317053,Ac1Nsv2V,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
3662,5317189,Erosnine,"Acetal, Oxohetarene, Aromatic compound, Heterocyclic compound"
3663,5317238,Ethyl Caffeate,"Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound"
3664,5317269,.Alpha.-Eudesmol,"Hydroxy compound, Alcohol, Tert. alcohol, Alkene"
3665,5317284,6-Methoxyluteolin,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3666,5317287,Eupatin,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3667,5317291,Eupatolitin,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3668,5317309,Falcarindiol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene, Alkyne"
3669,5317317,Farfugin B,"Alkene, Aromatic compound, Heterocyclic compound"
3670,5317319,Cis-Beta-Farnesene,Alkene
3671,5317346,Ac1Nsvgg,"Hydroxy compound, Alcohol, Sec. alcohol, Tert. alcohol, 1,2-diol, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid ester, Alkene, Aromatic compound, Alpha-hydroxyacid"
3672,5317360,Flemiphilippinin C,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3673,5317426,Furanoeremophilane,"Aromatic compound, Heterocyclic compound"
3674,5317428,Ac1Nsvky,"Hydroxy compound, Alcohol, Sec. alcohol, Aromatic compound, Heterocyclic compound"
3675,5317429,Furanojaponin,"Carboxylic acid deriv., Carboxylic acid ester, Alkene, Aromatic compound, Heterocyclic compound"
3676,5317431,S-Furanopetasitin,"Carboxylic acid deriv., Carboxylic acid ester, Sulfenic acid deriv., Alkene, Aromatic compound, Heterocyclic compound"
3677,5317463,6-O-Galloyl-Beta-D-Glucose,"Hemiacetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound, Heterocyclic compound"
3678,5317465,1-O-Galloylglycerol,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound"
3679,5317478,Gancaonin A,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3680,5317479,Gancaonin B,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3681,5317480,Lupiwighteone,"Carbonyl compound, Hydroxy compound, Phenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3682,5317481,Gancaonin D,"Carbonyl compound, Hydroxy compound, Alcohol, Prim. alcohol, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3683,5317482,Gancaonin F,"Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3684,5317483,Thmif,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3685,5317564,8-Geranyloxypsoralen,"Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3686,5317570,(-)-Germacrene D,Alkene
3687,5317572,Ac1Nsvti,"Carbonyl compound, Ketone, Alkene"
3688,5317587,"[6]-Gingerdiol 3,5-Diacetate","Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound"
3689,5317588,"1-(4-Hydroxy-3-Methoxyphenyl)Dodecane-3,5-Diol","Hydroxy compound, Alcohol, Sec. alcohol, Phenol, Ether, Alkylarylether, Aromatic compound"
3690,5317590,Ac1Nsvub,"Hydroxy compound, Alcohol, Sec. alcohol, Phenol, Ether, Alkylarylether, Aromatic compound"
3691,5317591,Ac1Nsvue,"Carbonyl compound, Ketone, Enol, Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
3692,5317592,Gingerenone B,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
3693,5317593,Gingerenone C,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
3694,5317594,Ac1Nsvun,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Heterocyclic compound"
3695,5317596,5-Hydroxy-1-(4-Hydroxy-3-Methoxyphenyl)Octan-3-One,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, Ether, Alkylarylether, Aromatic compound"
3696,5317599,[12]-Gingerol,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, Ether, Alkylarylether, Aromatic compound"
3697,5317600,(8E)-Anacardic Acid,"Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Alkene, Aromatic compound"
3698,5317648,Ac1Nsvwc,"Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
3699,5317652,Glabrone,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3700,5317726,Ac1Nsvyc,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound, Heterocyclic compound"
3701,5317736,Ac1Nsvyu,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide, Alpha-aminoacid"
3702,5317742,Glyceollin Iv,"Hydroxy compound, Alcohol, Tert. alcohol, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
3703,5317750,Glycitein,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3704,5317756,Glycycoumarin,"Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3705,5317757,Ac1Nsw03,"Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3706,5317764,Glycyrrhisoflavone,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3707,5317777,Glyzaglabrin,"Carbonyl compound, Acetal, Hydroxy compound, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
3708,5317830,Ranupetin,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3709,5317854,,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alkene"
3710,5317860,,"Carbonyl compound, Ketone, Carboxylic acid deriv., Carboxylic acid, Alkene"
3711,5317991,Helichrysoside,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid ester, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3712,5318001,Hemerocallone,"Carbonyl compound, Acetal, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3713,5318002,,"Cation, Anion, Carboxylic acid deriv., Carboxylic acid, Alkene, Aromatic compound, Heterocyclic compound"
3714,5318039,Hexahydrocurcumin,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Sec. alcohol, Phenol, Ether, Alkylarylether, Aromatic compound"
3715,5318042,Trans-2-Hexen-1-Ol,"Hydroxy compound, Alcohol, Prim. alcohol, Alkene"
3716,5318080,Ac1Nswch,"Carboxylic acid deriv., Carboxylic acid ester, Lactone, Alkene, Heterocyclic compound"
3717,5318103,Ac1Nswdq,"Ether, Dialkylether, Alkene, Heterocyclic compound"
3718,5318135,2-O-(6-O-Beta-D-Glucopyranosyl-Beta-D-Glucopyranosyl)Ellagic Acid,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
3719,5318214,Hydroxygenkwanin,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3720,5318274,Diacetoxy-4-Gingerdiol,"Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound"
3721,5318276,Ac1Nswme,"Hydroxy compound, Alcohol, Sec. alcohol, Phenol, Ether, Alkylarylether, Aromatic compound"
3722,5318294,4-(Hydroxymethyl)Pyrrolidine-2-Carboxylic Acid,"Hydroxy compound, Alcohol, Prim. alcohol, Amine, Sec. amine, Sec. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Heterocyclic compound, Alpha-aminoacid"
3723,5318311,12A-Hydroxypachyrrhizone,"Carbonyl compound, Ketone, Acetal, Hydroxy compound, Alcohol, Tert. alcohol, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
3724,5318355,Penduletin 4'-Methyl Ether,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3725,5318356,Unii-9Dld121996,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3726,5318369,"5-Hydroxy-7,2',6'-Trimethoxyflavone","Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3727,5318372,"1-Hydroxy-2,3,5-Trimethoxyxanthone","Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3728,5318373,Ac1Nswrp,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3729,5318393,(Z)-7-Hexadecenoic Acid,"Carboxylic acid deriv., Carboxylic acid, Alkene"
3730,5318414,Ikshusterol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
3731,5318483,Irisquinone,"Carbonyl compound, Ketone, Enolether, Alkene"
3732,5318508,Ac1Nswxt,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3733,5318532,D-Threo-Isocitric Acid,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alpha-hydroxyacid"
3734,5318537,Isocryptomerin,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Diarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3735,5318547,350681-33-3,"Hydroxy compound, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
3736,5318556,Isoegomaketone,"Carbonyl compound, Ketone, Alkene, Aromatic compound, Heterocyclic compound"
3737,5318557,Isoelemicin,"Ether, Alkylarylether, Alkene, Aromatic compound"
3738,5318562,Isoeugenitol,"Carbonyl compound, Hydroxy compound, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
3739,5318565,Isofraxidin,"Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3740,5318568,Isogingerenone B,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Alkene, Aromatic compound"
3741,5318569,Isoginkgetin,"Carbonyl compound, Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3742,5318570,Lmpk12090045,"Hydroxy compound, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3743,5318575,Isoindigo,"Oxohetarene, Aromatic compound, Heterocyclic compound"
3744,5318585,Isolicoflavonol,"Carbonyl compound, Hydroxy compound, Phenol, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
3745,5318586,Ac1Nsx1U,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
3746,5318598,,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alkene"
3747,5318599,Trans-2-Octen-1-Ol,"Hydroxy compound, Alcohol, Prim. alcohol, Alkene"
3748,5318606,Chebi:75813,"Carbonyl compound, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
