,id,category,name,disease_synonyms
4333,MESH:C564330,Mental disorder|Nervous system disease|Signs and symptoms,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia","AD|ALZHEIMER DISEASE 3|ALZHEIMER DISEASE 3, EARLY-ONSET|ALZHEIMER DISEASE, FAMILIAL, 3 ALZHEIMER DISEASE, FAMILIAL, 3, WITH SPASTIC PARAPARESIS AND UNUSUAL PLAQUES, INCLUDED|ALZHEIMER DISEASE, FAMILIAL, 3, WITH SPASTIC PARAPARESIS AND APRAXIA, INCLUDED"
4334,MESH:D014245,Parasitic disease,Trichomonas Infections,"Infections, Trichomonas|Infection, Trichomonas|Trichomonas Infection|Trichomoniases|Trichomoniasis"
4335,MESH:D014806,Nutrition disorder,Vitamin B 12 Deficiency,"Deficiencies, Vitamin B12|Deficiency, Vitamin B12|Deficiency, Vitamin B 12|Vitamin B12 Deficiencies|Vitamin B12 Deficiency"
4336,MESH:D008114,Cancer|Digestive system disease,"Liver Neoplasms, Experimental","Experimental Hepatoma|Experimental Hepatomas|Experimental Liver Neoplasm|Experimental Liver Neoplasms|Hepatoma, Experimental|Hepatoma, Morris|Hepatoma, Novikoff|Hepatomas, Experimental|Liver Neoplasm, Experimental|Morris Hepatoma|Neoplasms, Experimental Liver|Novikoff Hepatoma"
4337,OMIM:233300,Endocrine system disease|Urogenital disease (female),OVARIAN DYSGENESIS 1,"GONADAL DYSGENESIS, XX TYPE|ODG1|OVARIAN DYSGENESIS, HYPERGONADOTROPIC, AUTOSOMAL RECESSIVE|OVARIAN DYSGENESIS, HYPERGONADOTROPIC, WITH NORMAL KARYOTYPE|OVARIAN FAILURE, HYPERGONADOTROPIC|XXGD|XX GONADAL DYSGENESIS"
4338,MESH:C563614,Cardiovascular disease|Congenital abnormality|Pathology (process),Long Qt Syndrome 2,"LONG QT SYNDROME 1/2, DIGENIC, INCLUDED;LQT1/2, DIGENIC, INCLUDED|LONG QT SYNDROME 2/3, DIGENIC, INCLUDED;LQT2/3, DIGENIC, INCLUDED|LONG QT SYNDROME 2/5, DIGENIC, INCLUDED;LQT2/5, DIGENIC, INCLUDED|LONG QT SYNDROME 2/9, DIGENIC, INCLUDED;LQT2/9, DIGENIC, INCLUDED|LONG QT SYNDROME 2, ACQUIRED, SUSCEPTIBILITY TO, INCLUDED|LQT2"
4339,MESH:D018238,Cancer|Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male),Gonadoblastoma,Gonadoblastomas
4340,MESH:D013742,Bacterial infection or mycosis,Tetanus,"Clostridium tetani Infection|Clostridium tetani Infections|Infection, Clostridium tetani|Infections, Clostridium tetani"
4341,MESH:C535704,Cardiovascular disease|Congenital abnormality|Mental disorder|Musculoskeletal disease,Malpuech facial clefting syndrome,"3MC3|3MC SYNDROME 3|Facial clefting syndrome, Gypsy type|MALPUECH FACIAL CLEFTING SYNDROME, FORMERLY|Malpuech syndrome"
4342,MESH:C536273,Congenital abnormality|Infant-newborn disease|Skin disease,"Ichthyosis with hypotrichosis, autosomal recessive","ARCI11|ARIH|Autosomal recessive ichthyosis with hypotrichosis|ICHTHYOSIS AND FOLLICULAR ATROPHODERMA WITH HYPOTRICHOSIS AND HYPOHIDROSIS|ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 11|Ichthyosis, Follicular Atrophoderma, Hypotrichosis, and Hypohidrosis|ICHTHYOSIS WITH HYPOTRICHOSIS, AUTOSOMAL RECESSIVE|IFAH"
4343,MESH:C564539,Blood disease|Genetic disease (inborn),"Neutropenia, Severe Congenital, X-Linked",SCNX|XLN
4344,MESH:D010008,Musculoskeletal disease,Osteochondritis Dissecans,"Dissecans, Osteochondritis"
4345,MESH:D007340,Cancer|Digestive system disease|Endocrine system disease,Insulinoma,"Adenoma, beta Cell|Adenoma, beta-Cell|Adenomas, beta-Cell|beta-Cell Adenoma|beta-Cell Adenomas|beta Cell Tumor|beta-Cell Tumor|beta-Cell Tumors|Insulinomas|INSULINOMA TUMOR SUPPRESSOR GENE LOCUS|Insuloma|Insulomas|Tumor, beta-Cell|Tumors, beta-Cell"
4346,MESH:D008945,Cardiovascular disease,Mitral Valve Prolapse,"Click Murmur Syndrome|Click-Murmur Syndrome|Click-Murmur Syndrome, Mitral|Click-Murmur Syndromes|Click-Murmur Syndrome, Systolic|Floppy Mitral Valve|Floppy Mitral Valves|Mitral Click Murmur Syndrome|Mitral Click-Murmur Syndrome|Mitral Valve, Floppy|Mitral Valve, Prolapsed|Mitral Valve Prolapses|Mitral Valve Prolapse Syndrome|Mitral Valves, Floppy|Mitral Valves, Prolapsed|Prolapsed Mitral Valve|Prolapsed Mitral Valves|Prolapse, Mitral Valve|Prolapses, Mitral Valve|Syndrome, Click-Murmur|Syndrome, Mitral Click-Murmur|Syndromes, Click-Murmur|Syndrome, Systolic Click-Murmur|Systolic Click Murmur Syndrome|Systolic Click-Murmur Syndrome|Valve, Prolapsed Mitral|Valve Prolapse, Mitral|Valve Prolapses, Mitral|Valves, Prolapsed Mitral"
4347,MESH:D008580,Nervous system disease|Signs and symptoms,Meningism,"Dupre's Syndrome|Dupres Syndrome|Dupre Syndrome|Meningisms|Meningismus|Meningitis Like Reaction|Meningitis-Like Reaction|Meningitis-Like Reactions|Pseudomeningitides|Pseudomeningitis|Reaction, Meningitis-Like|Reactions, Meningitis-Like|Syndrome, Dupre|Syndrome, Dupre's"
4348,MESH:C535938,Musculoskeletal disease,Chondrocalcinosis 1,CCAL1|Chondrocalcinosis with early-onset osteoarthritis
4349,MESH:C564476,Endocrine system disease|Urogenital disease (female),Premature Ovarian Failure 2b,POF2B
4350,OMIM:609572,Nervous system disease|Skin disease,PHOTOPAROXYSMAL RESPONSE 2,PHOTOPAROXYSMAL RESPONSE WITH OR WITHOUT IDIOPATHIC GENERALIZED EPILEPSY|PPR2
4351,MESH:D058729,Cardiovascular disease,Peripheral Arterial Disease,"Arterial Disease, Peripheral|Arterial Diseases, Peripheral|Artery Disease, Peripheral|Artery Diseases, Peripheral|Disease, Peripheral Arterial|Disease, Peripheral Artery|Diseases, Peripheral Arterial|Diseases, Peripheral Artery|Peripheral Arterial Diseases|Peripheral Artery Disease|Peripheral Artery Diseases"
4352,MESH:D024343,Mouth disease,Open Bite,"Apertognathia|Bite, Open|Nonocclusion|Openbite"
4353,OMIM:614809,Immune system disease|Urogenital disease (female)|Urogenital disease (male),CFHR5 DEFICIENCY,None
4354,MESH:C537015,Congenital abnormality|Mental disorder|Mouth disease|Musculoskeletal disease|Nervous system disease|Pathology (process)|Signs and symptoms,KBG syndrome,"KBGS|MACRODONTIA, MENTAL RETARDATION, CHARACTERISTIC FACIES, SHORT STATURE, AND SKELETAL ANOMALIES|Short stature, characteristic facies, macrodontia, mental retardation, and skeletal anomalies"
4355,MESH:C566446,Congenital abnormality|Eye disease,"Microphthalmia, Isolated 2","ANOPHTHALMIA, CLINICAL, ISOLATED|MCOP2"
4356,MESH:D006396,Digestive system disease|Pathology (process)|Signs and symptoms,Hematemesis,Hematemeses
4357,MESH:C566528,Congenital abnormality|Ear-nose-throat disease|Infant-newborn disease|Nervous system disease|Signs and symptoms|Skin disease,HID Syndrome,"HID SYNDROME|Hystrix-Like Ichthyosis with Deafness|Ichthyosis, Hystrix-Like, with Deafness"
4358,OMIM:615373,Cardiovascular disease|Congenital abnormality|Genetic disease (inborn),LEFT VENTRICULAR NONCOMPACTION 8,"CARDIOMYOPATHY, DILATED, 1LL, INCLUDED|CMD1LL, INCLUDED|LVNC8"
4359,MESH:D008072,Genetic disease (inborn)|Metabolic disease,Hyperlipoproteinemia Type I,"Anapolipoproteinemia, C-II|Anapolipoproteinemias, C-II|APOC2 DEFICIENCY|Apolipoprotein C-II Deficiencies|Apolipoprotein C II Deficiency|Apolipoprotein C-II Deficiency|Burger Grutz Syndrome|Burger-Grutz Syndrome|Burger-Grutz Syndromes|Chylomicronemia, Familial|Chylomicronemias, Familial|C-II Anapolipoproteinemia|C-II Anapolipoproteinemias|Deficiencies, Apolipoprotein C-II|Deficiencies, Familial LPL|Deficiencies, Lipase D|Deficiencies, LIPD|Deficiencies, Lipoprotein Lipase|Deficiency, Apolipoprotein C-II|Deficiency, Familial LPL|Deficiency, Lipase D|Deficiency, LIPD|Deficiency, Lipoprotein Lipase|Essential Familial Hyperlipemia|Essential Familial Hyperlipemias|Familial Chylomicronemia|Familial Chylomicronemias|Familial Fat Induced Hypertriglyceridemia|Familial Fat-Induced Hypertriglyceridemia|Familial Fat-Induced Hypertriglyceridemias|Familial Hyperchylomicronemia|Familial Hyperchylomicronemias|Familial Hyperlipemia, Essential|Familial Hyperlipemias, Essential|Familial Hyperlipoproteinemia Type 1|Familial Lipoprotein Lipase Deficiency|Familial LPL Deficiencies|Familial LPL Deficiency|Fat-Induced Hypertriglyceridemia, Familial|Fat-Induced Hypertriglyceridemias, Familial|Hyperchylomicronemia, Familial|Hyperchylomicronemias, Familial|Hyperlipemia, Essential Familial|Hyperlipemia, Idiopathic, Burger-Grutz Type|Hyperlipemias, Essential Familial|Hyperlipoproteinemias, Type I|Hyperlipoproteinemias, Type Ia|Hyperlipoproteinemias, Type Ib|Hyperlipoproteinemia, Type I|Hyperlipoproteinemia Type Ia|Hyperlipoproteinemia, Type Ia|Hyperlipoproteinemia Type Ias|Hyperlipoproteinemia Type Ib|Hyperlipoproteinemia, Type Ib|Hyperlipoproteinemia Type Ibs|Hyperlipoproteinemia Type Is|Hypertriglyceridemia, Familial Fat-Induced|Hypertriglyceridemias, Familial Fat-Induced|Lipase D Deficiencies|Lipase D Deficiency|Lipase Deficiencies, Lipoprotein|LIPD Deficiencies|LIPD Deficiency|Lipoprotein Lipase Deficiencies|Lipoprotein Lipase Deficiency|Lipoprotein Lipase Deficiency, Familial|LPL Deficiencies, Familial|LPL DEFICIENCY|LPL Deficiency, Familial|Syndrome, Burger-Grutz|Syndromes, Burger-Grutz|Type Ia Hyperlipoproteinemia|Type Ia Hyperlipoproteinemias|Type Ib Hyperlipoproteinemia|Type Ib Hyperlipoproteinemias|Type I Hyperlipoproteinemia|Type I Hyperlipoproteinemias"
4360,OMIM:239000,Musculoskeletal disease,"PAGET DISEASE OF BONE 5, JUVENILE-ONSET","HYPEROSTOSIS CORTICALIS DEFORMANS JUVENILIS|HYPERPHOSPHATASEMIA, CHRONIC CONGENITAL IDIOPATHIC|HYPERPHOSPHATASIA, FAMILIAL IDIOPATHIC|JPD|JUVENILE PAGET DISEASE|OSTEOECTASIA, FAMILIAL|PDB5"
4361,OMIM:614922,Genetic disease (inborn)|Metabolic disease,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11,"COXPD11|ENCEPHALONEUROMYOPATHY, INFANTILE, DUE TO MITOCHONDRIAL TRANSLATION DEFECT"
4362,MESH:D016511,Immune system disease|Infant-newborn disease|Metabolic disease,Severe Combined Immunodeficiency,"Bare Lymphocyte Syndrome|Bare Lymphocyte Syndromes|Combined Immunodeficiencies, Severe|Combined Immunodeficiency, Severe|Familial Reticuloendothelioses|Familial Reticuloendotheliosis|Immunodeficiencies, Severe Combined|Immunodeficiency, Severe Combined|Immunodeficiency Syndrome, Severe Combined|Immunologic Deficiency, Severe Combined|Lymphocyte Syndrome, Bare|Lymphocyte Syndromes, Bare|Omenn's Syndrome|Omenns Syndrome|Omenn Syndrome|Reticuloendothelioses, Familial|Reticuloendotheliosis, Familial|Severe Combined Immune Deficiency|Severe Combined Immunodeficiencies|Severe Combined Immunodeficiency Syndrome|Severe Combined Immunologic Deficiency|Syndrome, Bare Lymphocyte|Syndrome, Omenn|Syndrome, Omenn's|Syndromes, Bare Lymphocyte"
4363,OMIM:616436,Nervous system disease,"EPILEPSY, FAMILIAL TEMPORAL LOBE, 7",ETL7
4364,MESH:C536596,Mental disorder|Nervous system disease,Alzheimer disease type 4,"AD4|Alzheimer disease 4|Alzheimer Disease, Familial, 4|Alzheimer disease, familial, type 4"
4365,MESH:C563983,Congenital abnormality|Eye disease,Nanophthalmos 1,"Microphthalmos, Simple, Autosomal Dominant|Nanophthalmia 1|Nanophthalmos, Autosomal Dominant|Nanophthalmos with High Hyperopia and Angle-Closure Glaucoma|NNO1"
4366,MESH:D001129,Skin disease,Argyria,Argyrias
4367,MESH:C567087,Cardiovascular disease|Genetic disease (inborn),Brugada Syndrome 2,BRGDA2
4368,MESH:D003330,Cardiovascular disease|Congenital abnormality,Coronary Vessel Anomalies,"Anomalies, Coronary Vessel|Anomaly, Coronary Vessel|Coronary Vessel Anomaly"
4369,MESH:D012216,Connective tissue disease|Musculoskeletal disease,Rheumatic Diseases,"Disease, Rheumatic|Diseases, Rheumatic|Rheumatic Disease|Rheumatism"
4370,OMIM:615530,Nervous system disease,"PARKINSON DISEASE 20, EARLY-ONSET",PARK20
4371,MESH:C567241,Mental disorder|Nervous system disease|Signs and symptoms,"Mental Retardation, Autosomal Dominant 3",MRD3
4372,MESH:D006953,Genetic disease (inborn)|Metabolic disease,Hyperlipoproteinemia Type IV,"Carbohydrate Inducible Hyperlipemia|Carbohydrate-Inducible Hyperlipemia|Carbohydrate Inducible Hyperlipemias|Carbohydrate-Inducible Hyperlipemias|Familial Hyperlipoproteinemia Type 4|Familial Hypertriglyceridemia|Familial Type IV Hyperlipoproteinemia|Hyperlipemia, Carbohydrate Inducible|Hyperlipemia, Carbohydrate-Inducible|Hyperlipemias, Carbohydrate Inducible|Hyperlipemias, Carbohydrate-Inducible|Hyperlipoproteinemias, Type IV|Hyperlipoproteinemia, Type IV|Hyperprebetalipoproteinemia|Hyper prebeta lipoproteinemia|Hypertriglyceridemia, Familial|Inducible Hyperlipemia, Carbohydrate|Inducible Hyperlipemias, Carbohydrate|Type IV Hyperlipoproteinemia|Type IV, Hyperlipoproteinemia|Type IV Hyperlipoproteinemias"
4373,MESH:D006949,Metabolic disease,Hyperlipidemias,Hyperlipemia|Hyperlipemias|Hyperlipidemia|Lipemia|Lipemias|Lipidemia|Lipidemias
4374,MESH:C567244,Metabolic disease|Nervous system disease,Amyotrophic Lateral Sclerosis 11,ALS11
4375,OMIM:615436,Cardiovascular disease,"AORTIC ANEURYSM, FAMILIAL THORACIC 8",AAT8
4376,MESH:D029461,Genetic disease (inborn)|Metabolic disease|Nervous system disease,Sialic Acid Storage Disease,"Finnish Type Sialuria|Finnish Type Sialurias|French Type Sialuria|Infantile Form Sialuria|Infantile Form Sialurias|Infantile Sialic Acid Storage Disease|Infantile Sialic Acid Storage Disorder|Infantile Sialic Acid Storage Disorder (ISSD)|ISSD|N-ACETYLNEURAMINIC ACID STORAGE DISEASE|NANA STORAGE DISEASE|NSD|Salla Disease|SD|Sialic Acid Storage Disease, Finnish Type|Sialic Acid Storage Disease, Infantile Form|Sialuria|Sialuria, Finnish Type|SIALURIA, FRENCH TYPE|Sialuria, Infantile Form|Sialurias|Sialurias, Finnish Type|Sialurias, Infantile Form"
4377,MESH:C565629,Pathology (anatomical condition),Diaphragmatic Hernia 2,DIH2
4378,MESH:C564245,Blood disease|Genetic disease (inborn),Platelet Glycoprotein IV Deficiency,"BDPLT10|BLEEDING DISORDER, PLATELET-TYPE, 10|CD36 Deficiency"
4379,MESH:C564713,Genetic disease (inborn)|Nervous system disease,"Mental Retardation, X-Linked 50",MRX50
4380,OMIM:614338,Genetic disease (inborn)|Metabolic disease,PANCREATIC LIPASE DEFICIENCY,"COLIPASE, CONGENITAL ABSENCE OF PANCREATIC, INCLUDED|LIPASE AND COLIPASE, CONGENITAL ABSENCE OF PANCREATIC, INCLUDED|LIPASE AND COLIPASE, DEFICIENCY OF, INCLUDED|LIPASE, CONGENITAL ABSENCE OF PANCREATIC|PL DEFICIENCY PANCREATIC COLIPASE DEFICIENCY, INCLUDED|PNLIPD"
4381,MESH:D041781,Pathology (process)|Signs and symptoms,"Jaundice, Obstructive","Cholestatic Jaundice|Jaundice, Cholestatic|Jaundice, Mechanical|Mechanical Jaundice|Obstructive Jaundice"
4382,MESH:D010014,Musculoskeletal disease,Osteolysis,Osteolyses
4383,OMIM:150699,Cancer|Urogenital disease (female),"LEIOMYOMA, UTERINE",UL
4384,MESH:D010411,Connective tissue disease|Urogenital disease (male),Penile Induration,"Cavernitides, Fibrous|Cavernitis, Fibrous|Fibromatosis, Penile|Fibrous Cavernitides|Fibrous Cavernitis|Penile Fibromatosis|Peyronie Disease|Peyronie's Disease|Peyronies Disease|Plastic Induration of the Penis"
4385,MESH:C566574,Genetic disease (inborn)|Musculoskeletal disease,"Spondyloepimetaphyseal Dysplasia, Missouri Type","MANDP1, INCLUDED|SEMD, Missouri Type|SEMD, MISSOURI TYPE  METAPHYSEAL ANADYSPLASIA 1, INCLUDED"
4386,MESH:D001261,Respiratory tract disease,Pulmonary Atelectasis,"Atelectases|Atelectases, Compression|Atelectases, Compression Pulmonary|Atelectases, Congestive|Atelectases, Congestive Pulmonary|Atelectases, Contraction Pulmonary|Atelectases, Postoperative Pulmonary|Atelectases, Pulmonary|Atelectases, Resorption|Atelectases, Resorption Pulmonary|Atelectasis|Atelectasis, Compression|Atelectasis, Compression Pulmonary|Atelectasis, Congestive|Atelectasis, Congestive Pulmonary|Atelectasis, Contraction Pulmonary|Atelectasis, Postoperative Pulmonary|Atelectasis, Pulmonary|Atelectasis, Resorption|Atelectasis, Resorption Pulmonary|Collapse, Lung|Compression Atelectases|Compression Atelectasis|Compression Pulmonary Atelectases|Compression Pulmonary Atelectasis|Congestive Atelectases|Congestive Atelectasis|Congestive Pulmonary Atelectases|Congestive Pulmonary Atelectasis|Contraction Pulmonary Atelectases|Contraction Pulmonary Atelectasis|Lung Collapse|Postoperative Pulmonary Atelectases|Postoperative Pulmonary Atelectasis|Pulmonary Atelectases|Pulmonary Atelectases, Compression|Pulmonary Atelectases, Congestive|Pulmonary Atelectases, Contraction|Pulmonary Atelectases, Postoperative|Pulmonary Atelectases, Resorption|Pulmonary Atelectasis, Compression|Pulmonary Atelectasis, Congestive|Pulmonary Atelectasis, Contraction|Pulmonary Atelectasis, Postoperative|Pulmonary Atelectasis, Resorption|Resorption Atelectases|Resorption Atelectasis|Resorption Pulmonary Atelectases|Resorption Pulmonary Atelectasis"
4387,MESH:D020315,Immune system disease,Latex Hypersensitivity,"Allergies, Latex|Allergies, Rubber|Allergies, Rubber Latex|Allergy, Latex|Allergy, Rubber|Allergy, Rubber Latex|Hypersensitivities, Latex|Hypersensitivity, Latex|Latex Allergies|Latex Allergy|Latex Hypersensitivities|Natural Rubber Latex Allergy|Rubber Allergies|Rubber Allergy|Rubber Latex Allergies|Rubber Latex Allergy"
4388,MESH:C566487,Genetic disease (inborn)|Metabolic disease,2-Methylbutyryl-CoA Dehydrogenase Deficiency,2-MBCD Deficiency|2-Methylbutyryl-Coenzyme A Dehydrogenase Deficiency|2-Methylbutyryl Glycinuria|SBCADD|Short-Branched-Chain Acyl-CoA Dehydrogenase Deficiency|SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY
4389,MESH:C537425,Genetic disease (inborn)|Metabolic disease,Glutamate formiminotransferase deficiency,Arakawa syndrome 1|FIGLU-Uria|Formiminoglutamic Aciduria|Formiminoglutamicaciduria (FIGLU-uria)|Formiminotransferase Deficiency|Formiminotransferase deficiency syndrome
4390,MESH:C564247,Congenital abnormality|Musculoskeletal disease|Nervous system disease,"Microcephaly, Primary Autosomal Recessive, 6","MCPH6|MICROCEPHALY 6, PRIMARY, AUTOSOMAL RECESSIVE"
4391,OMIM:300799,Genetic disease (inborn)|Nervous system disease,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, RAYMOND TYPE",MRXSR
4392,MESH:C535780,Congenital abnormality|Musculoskeletal disease,Spondylocarpotarsal synostosis,"Congenital Scoliosis with Unilateral Unsegmented Bar|Congenital Synspondylism|Scoliosis, congenital, with unilateral unsegmented bar|SCT|SCT Syndrome|Spondylocarpotarsal Syndrome|Spondylocarpotarsal synostosis syndrome|Synspondylism, congenital|Vertebral fusion with carpal coalition"
4393,MESH:C562735,Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Pathology (process)|Skin disease,"Osseous Heteroplasia, Progressive","Cutaneous Ossification|Ectopic Ossification, Familial|Osteodermia|Osteoma Cutis|Osteosis Cutis|POH|Progressive Osseous Heteroplasia"
4394,MESH:D004820,Congenital abnormality|Genetic disease (inborn)|Skin disease,Epidermolysis Bullosa,"Acantholysis Bullosa|EBNS|EPIDERMOLYSIS BULLOSA, NONSPECIFIC, AUTOSOMAL RECESSIVE"
4395,MESH:D056728,Blood disease|Genetic disease (inborn),"von Willebrand Disease, Type 2","Type 2A von Willebrand Disease|Type 2B von Willebrand Disease|Type 2M von Willebrand Disease|Type 2N von Willebrand Disease|Type 2 von Willebrand Disease|Type IIA von Willebrand Disease|Type IIB von Willebrand Disease|Type IIM von Willebrand Disease|Type IIN von Willebrand Disease|Type II von Willebrand Disease|von Willebrand Disease, Type 2A|von Willebrand Disease, Type 2B|VON WILLEBRAND DISEASE, TYPE 2B, INCLUDED|von Willebrand Disease, Type 2M|VON WILLEBRAND DISEASE, TYPE 2M, INCLUDED|von Willebrand Disease, Type 2N|VON WILLEBRAND DISEASE, TYPE 2N, INCLUDED|von Willebrand Disease, Type II|von Willebrand Disease, Type IIA|von Willebrand Disease, Type IIB|von Willebrand Disease, Type IIM|von Willebrand Disease, Type IIN|VWD2|VWD2A, INCLUDED|VWD2B, INCLUDED|VWD2M, INCLUDED|VWD2N, INCLUDED|VWD, TYPE 2 VON WILLEBRAND DISEASE, TYPE 2A, INCLUDED"
4396,OMIM:614035,Ear-nose-throat disease|Nervous system disease|Signs and symptoms,"DEAFNESS, AUTOSOMAL RECESSIVE 29",DFNB29
4397,MESH:C535418,Congenital abnormality|Genetic disease (inborn)|Nervous system disease,"Charcot-Marie-Tooth disease, Type 2K","Charcot-Marie-Tooth disease, axonal, autosomal recessive, Type 2K|Charcot-Marie-Tooth disease, axonal, Type 2K|Charcot-Marie-Tooth Neuropathy, Axonal, Type 2k|CHARCOT-MARIE-TOOTH NEUROPATHY, AXONAL, TYPE 2K  CHARCOT-MARIE-TOOTH DISEASE, AUTOSOMAL DOMINANT, TYPE 2K, INCLUDED|Cmt2k|CMT 2K"
4398,OMIM:616176,Blood disease|Pathology (process),"BLEEDING DISORDER, PLATELET-TYPE, 19",BDPLT19
4399,MESH:D009386,Cancer|Genetic disease (inborn),"Neoplastic Syndromes, Hereditary","Cancer Syndrome, Hereditary|Cancer Syndromes, Hereditary|Hereditary Cancer Syndrome|Hereditary Cancer Syndromes|Hereditary Neoplastic Syndrome|Hereditary Neoplastic Syndromes|Neoplastic Syndrome, Hereditary|Syndrome, Hereditary Cancer|Syndrome, Hereditary Neoplastic|Syndromes, Hereditary Cancer|Syndromes, Hereditary Neoplastic"
4400,MESH:C536742,Cardiovascular disease|Endocrine system disease|Mental disorder|Metabolic disease|Nervous system disease|Pathology (anatomical condition)|Pathology (process)|Signs and symptoms|Skin disease,Woodhouse Sakati syndrome,"Extrapyramidal Disorder, Progressive, With Primary Hypogonadism, Mental Retardation, and Alopecia|Hypogonadism, Alopecia, Diabetes Mellitus, Mental Retardation, and Extrapyramidal Syndrome|HYPOGONADISM, ALOPECIA, DIABETES MELLITUS, MENTAL RETARDATION, DEAFNESS, AND EXTRAPYRAMIDAL SYNDROME|Woodhouse-Sakati Syndrome"
4401,MESH:D001984,Cancer|Respiratory tract disease,Bronchial Neoplasms,"Bronchial Neoplasm|Neoplasm, Bronchial|Neoplasms, Bronchial"
4402,OMIM:608392,Immune system disease|Skin disease,"AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 3","AIS3|AUTOIMMUNE DISEASE SUSCEPTIBILITY LOCUS, CHROMOSOME 8-RELATED|VAMAS4|VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 4"
4403,MESH:D020821,Nervous system disease,Dystonic Disorders,"Adult-Onset Dystonia|Adult Onset Dystonias|Adult-Onset Dystonias|Adult Onset Idiopathic Focal Dystonias|Adult-Onset Idiopathic Focal Dystonias|Adult Onset Idiopathic Torsion Dystonias|Adult-Onset Idiopathic Torsion Dystonias|Autosomal Dominant Familial Dystonia|Autosomal Recessive Familial Dystonia|Childhood Onset Dystonia|Childhood Onset Dystonias|DYSTONIA 28, CHILDHOOD-ONSET|Dystonia, Adult-Onset|Dystonia, Childhood Onset|Dystonia Disorder|Dystonia Disorders|Dystonia, Familial|Dystonia, Focal|Dystonia, Hereditary|Dystonia, Idiopathic Familial|Dystonia, Primary|Dystonia, Psychogenic|Dystonias, Adult-Onset|Dystonias, Childhood Onset|Dystonia, Secondary|Dystonias, Familial|Dystonias, Focal|Dystonias, Hereditary|Dystonias, Idiopathic Familial|Dystonia, Sporadic|Dystonias, Primary|Dystonias, Psychogenic|Dystonias, Secondary|Dystonias, Sporadic|Dystonic Disorder|DYT28|Familial Dystonia|Familial Dystonia, Autosomal Dominant|Familial Dystonia, Autosomal Recessive|Familial Dystonia, Idiopathic|Familial Dystonias|Familial Dystonias, Idiopathic|Focal Dystonia|Focal Dystonias|Hereditary Dystonia|Hereditary Dystonias|Idiopathic Familial Dystonia|Idiopathic Familial Dystonias|Primary Dystonia|Primary Dystonias|Pseudodystonia|Pseudodystonias|Psychogenic Dystonia|Psychogenic Dystonias|Secondary Dystonia|Secondary Dystonias|Sporadic Dystonia|Sporadic Dystonias|Writer Cramp|Writer's Cramp|Writers Cramp"
4404,MESH:D020186,Mental disorder|Mouth disease|Nervous system disease,Sleep Bruxism,"Adult Sleep Bruxism|Adult Sleep Bruxisms|Bruxism, Nocturnal|Bruxism, Sleep|Bruxism, Sleep-Related|Bruxisms, Nocturnal|Bruxisms, Sleep|Bruxisms, Sleep-Related|Childhood Sleep Bruxism|Childhood Sleep Bruxisms|Nocturnal Bruxism|Nocturnal Bruxisms|Nocturnal Teeth Grinding Disorder|Sleep Bruxism, Adult|Sleep Bruxism, Childhood|Sleep Bruxisms|Sleep Bruxisms, Adult|Sleep Bruxisms, Childhood|Sleep Related Bruxism|Sleep-Related Bruxism|Sleep-Related Bruxisms|Teeth Grinding Disorder, Nocturnal"
4405,MESH:D056586,Blood disease|Genetic disease (inborn)|Respiratory tract disease,Acute Chest Syndrome,"Acute Chest Syndromes|Syndrome, Acute Chest|Syndromes, Acute Chest"
4406,MESH:C566946,Mouth disease,"Periodontitis, Aggressive, 2",None
4407,MESH:D002471,Cancer|Pathology (process),"Cell Transformation, Neoplastic","ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO|ACTFS|Cell Neoplastic Transformation|Cell Neoplastic Transformations|Cell Transformations, Neoplastic|Neoplastic Cell Transformation|Neoplastic Cell Transformations|Neoplastic Transformation, Cell|Neoplastic Transformations, Cell|Transformation, Cell Neoplastic|Transformation, Neoplastic Cell|Transformations, Cell Neoplastic|Transformations, Neoplastic Cell|Transformations, Tumorigenic|Transformation, Tumorigenic|Tumorigenic Transformation|Tumorigenic Transformations"
